18-06-2024 00:01:30.406 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
18-06-2024 00:01:30.411 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
18-06-2024 00:01:30.415 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
18-06-2024 00:01:34.815 [main] INFO  com.boot.dbskins.DbSkinsApplication.logStarting - Starting DbSkinsApplication using Java 17.0.8 with PID 14304 (D:\lala\db-skins\target\classes started by User in D:\lala\db-skins)
18-06-2024 00:01:34.822 [main] INFO  com.boot.dbskins.DbSkinsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
18-06-2024 00:01:35.594 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
18-06-2024 00:01:35.651 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 50 ms. Found 3 JPA repository interfaces.
18-06-2024 00:01:36.412 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8080 (http)
18-06-2024 00:01:36.422 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
18-06-2024 00:01:36.423 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.20]
18-06-2024 00:01:36.485 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
18-06-2024 00:01:36.486 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1598 ms
18-06-2024 00:01:36.667 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
18-06-2024 00:01:36.844 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@26994c6a
18-06-2024 00:01:36.846 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
18-06-2024 00:01:36.886 [main] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
18-06-2024 00:01:36.938 [main] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.2.1.Final
18-06-2024 00:01:36.941 [main] INFO  org.hibernate.cfg.Environment.<clinit> - HHH000406: Using bytecode reflection optimizer
18-06-2024 00:01:37.074 [main] INFO  o.h.b.i.BytecodeProviderInitiator.buildBytecodeProvider - HHH000021: Bytecode provider name : bytebuddy
18-06-2024 00:01:37.207 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
18-06-2024 00:01:37.267 [main] INFO  SQL dialect.logSelectedDialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$DialectResolutionInfoImpl@3ad2883a
18-06-2024 00:01:37.479 [main] INFO  o.h.b.i.BytecodeProviderInitiator.buildBytecodeProvider - HHH000021: Bytecode provider name : bytebuddy
18-06-2024 00:01:38.112 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
18-06-2024 00:01:38.115 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
18-06-2024 00:01:38.424 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory.<clinit> - Hibernate is in classpath; If applicable, HQL parser will be used.
18-06-2024 00:01:38.805 [main] INFO  c.b.d.S.C.SecurityController.init - SUPERADMIN ALREADY CREATED!
18-06-2024 00:01:38.975 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
18-06-2024 00:01:39.350 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@56929ce, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7bb6a1f4, org.springframework.security.web.context.SecurityContextHolderFilter@3a9a12a1, org.springframework.security.web.header.HeaderWriterFilter@1b3a1e42, org.springframework.web.filter.CorsFilter@25a2a71d, org.springframework.security.web.authentication.logout.LogoutFilter@537e52de, com.boot.dbskins.Security.Filter.JwtFilter@2e04c89d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c6ed95a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@67c020c8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27215154, org.springframework.security.web.session.SessionManagementFilter@6903ef57, org.springframework.security.web.access.ExceptionTranslationFilter@7d29fc6, org.springframework.security.web.access.intercept.AuthorizationFilter@5ba4735c]
18-06-2024 00:01:40.379 [main] WARN  o.s.s.c.a.web.builders.WebSecurity.performBuild - You are asking Spring Security to ignore Ant [pattern='/v3/api-docs/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
18-06-2024 00:01:40.380 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will not secure Ant [pattern='/v3/api-docs/**']
18-06-2024 00:01:40.380 [main] WARN  o.s.s.c.a.web.builders.WebSecurity.performBuild - You are asking Spring Security to ignore Ant [pattern='/swagger-ui/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
18-06-2024 00:01:40.380 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will not secure Ant [pattern='/swagger-ui/**']
18-06-2024 00:01:40.480 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 8080 (http) with context path ''
18-06-2024 00:01:40.489 [main] INFO  com.boot.dbskins.DbSkinsApplication.logStarted - Started DbSkinsApplication in 6.108 seconds (process running for 6.723)
18-06-2024 00:01:43.153 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
18-06-2024 00:01:43.155 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
18-06-2024 00:01:43.158 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
